Month,franchiseId,State,District ,Town,totalRf,totalSales,totalEarnings,Type
Apr-18,F103073,Gujarat,Valsad,Pardi,  44 ,"  38,788,249 ","  81,955 ",DIGITAL
Apr-18,F165408,Gujarat,Surat,Palsana,  13 ,"  2,004,690 ","  4,531 ",DIGITAL
Apr-18,F104380,Madhya Pradesh,Barwani,Barwani,  25 ,"  10,294,026 ","  21,039 ",DIGITAL
Apr-18,F160479,Karnataka,Bangalore,Bangalore South,  24 ,"  22,562,648 ","  47,189 ",DIGITAL
Apr-18,F103083,Gujarat,Surat,Olpad,  37 ,"  45,787,391 ","  98,612 ",DIGITAL
Apr-18,F165420,Gujarat,Valsad,Umargam,  6 ,"  11,355,202 ","  23,520 ",DIGITAL
Apr-18,F104787,Madhya Pradesh,Jhabua,Jhabua,  9 ,"  3,183,711 ","  6,663 ",DIGITAL
Apr-18,F102633,Gujarat,Bharuch,Vagra,  27 ,"  28,042,761 ","  61,741 ",DIGITAL
Apr-18,F103878,Madhya Pradesh,Dewas,Dewas,  61 ,"  703,080 ",  250 ,DIGITAL
Apr-18,F160818,Madhya Pradesh,Mandsaur,Mandsaur,  50 ,"  2,391,231 ","  3,990 ",DIGITAL
Apr-18,F102792,Gujarat,Vadodara,Vadodara,  5 ,"  751,540 ","  1,461 ",DIGITAL
Apr-18,F104656,Maharashtra,Akola,Akola,  39 ,"  17,607,649 ","  35,510 ",DIGITAL
Apr-18,F104791,Madhya Pradesh,Jhabua,Jhabua,  7 ,"  495,997 ",  986 ,DIGITAL
Apr-18,F100037,Goa,South Goa,Salcete,  57 ,"  6,322,375 ","  11,376 ",DIGITAL
Apr-18,F104860,Madhya Pradesh,Indore,Indore,  25 ,"  14,769,720 ","  31,727 ",DIGITAL
Apr-18,F104801,Madhya Pradesh,Ujjain,Ujjain,  13 ,"  2,838,713 ","  8,370 ",DIGITAL
Apr-18,F104338,Maharashtra,Akola,Akoli Jahangir,  37 ,"  162,819 ",  215 ,DIGITAL
Apr-18,F104812,Madhya Pradesh,Dhar,Kukshi,  6 ,"  1,888,853 ","  4,078 ",DIGITAL
Apr-18,F164052,Madhya Pradesh,Seoni,Seoni,  3 ,"  23,965 ",  28 ,DIGITAL
Apr-18,F101027,Gujarat,Bharuch,Anklesvar,  12 ,"  6,309,112 ","  13,060 ",DIGITAL
Apr-18,F104123,Uttar Pradesh,Deoria,Babhani,  88 ,"  19,525,273 ","  39,996 ",DIGITAL
Apr-18,F104830,Madhya Pradesh,Bhopal,Huzur,  3 ,"  379,340 ","  1,059 ",DIGITAL
Apr-18,F164327,Madhya Pradesh,Bhopal,Huzur,  7 ,"  883,616 ","  2,067 ",DIGITAL
Apr-18,F104802,Maharashtra,Akola,Akola,  20 ,"  5,338,810 ","  10,634 ",DIGITAL
Apr-18,F100974,Gujarat,Panch Mahals,Halol,  19 ,"  2,909,517 ","  6,662 ",DIGITAL
Apr-18,F104045,Madhya Pradesh,Dhar,Dhar,  50 ,"  7,647,070 ","  17,198 ",DIGITAL
Apr-18,F104861,Madhya Pradesh,Gwalior,Gwalior,  13 ,"  35,889 ",  72 ,DIGITAL
Apr-18,F103533,Maharashtra,Sangli,Miraj,  65 ,"  3,376,703 ","  3,951 ",DIGITAL
Apr-18,F104848,Maharashtra,Gondia,Salekasa,  10 ,"  3,398 ",  7 ,DIGITAL
Apr-18,F104794,Tamil Nadu,Tirunelveli,Palayamkottai,  13 ,"  267,820 ",  536 ,DIGITAL
Apr-18,F167019,Madhya Pradesh,Chhindwara,Chhindwara,  10 ,"  569,029 ","  1,429 ",DIGITAL
Apr-18,F104764,Madhya Pradesh,Shivpuri,Shivpuri,  7 ,"  7,489,446 ","  16,403 ",DIGITAL
Apr-18,F103952,Madhya Pradesh,Indore,Indore,  16 ,"  258,538 ",  305 ,DIGITAL
Apr-18,F104781,Maharashtra,Gondia,Sadak Arjuni,  17 ,"  2,390,535 ","  4,913 ",DIGITAL
Apr-18,F164059,Madhya Pradesh,Rewa,Hanumana,  2 ,"  16,518 ",  33 ,DIGITAL
Apr-18,F100041,Goa,North Goa,Tiswadi,  63 ,"  2,716,898 ","  2,065 ",DIGITAL
Apr-18,F104355,Maharashtra,Wardha,Wardha,  93 ,"  2,129,828 ","  2,533 ",DIGITAL
Apr-18,F104046,Madhya Pradesh,Dewas,Khategaon,  17 ,"  1,558,923 ","  3,317 ",DIGITAL
Apr-18,F164061,Madhya Pradesh,Bhopal,Huzur,  14 ,"  43,670 ",  66 ,DIGITAL
Apr-18,F100991,Gujarat,Panch Mahals,Godhra,  51 ,"  1,379,985 ","  1,661 ",DIGITAL
Apr-18,F104429,Madhya Pradesh,Barwani,Anjad,  7 ,"  1,173,215 ","  2,344 ",DIGITAL
Apr-18,F104852,Maharashtra,Satara,Satara,  4 ,"  3,550 ",  7 ,DIGITAL
Apr-18,F104720,Maharashtra,Ratnagiri,Ratnagiri,  34 ,"  547,872 ",  354 ,DIGITAL
