Month,franchiseId,State,District ,Town,totalRf,totalSales,totalEarnings,Type
Apr-18,F103073,Gujarat,Valsad,Pardi,  16 ,"  158,347 ",  -   ,PHYSICAL
Apr-18,F165408,Gujarat,Surat,Palsana,  3 ,"  20,651 ",  -   ,PHYSICAL
Apr-18,F104380,Madhya Pradesh,Barwani,Barwani,  3 ,"  30,353 ",  -   ,PHYSICAL
Apr-18,F160479,Karnataka,Bangalore,Bangalore South,  7 ,"  73,537 ",  -   ,PHYSICAL
Apr-18,F103083,Gujarat,Surat,Olpad,  26 ,"  271,956 ","  2,086 ",PHYSICAL
Apr-18,F165420,Gujarat,Valsad,Umargam,  3 ,"  31,372 ",  -   ,PHYSICAL
Apr-18,F104787,Madhya Pradesh,Jhabua,Jhabua,  1 ,"  12,794 ",  -   ,PHYSICAL
Apr-18,F102633,Gujarat,Bharuch,Vagra,  19 ,"  205,763 ",  -   ,PHYSICAL
Apr-18,F103878,Madhya Pradesh,Dewas,Dewas,  -   ,  -   ,"  1,734 ",PHYSICAL
Apr-18,F160818,Madhya Pradesh,Mandsaur,Mandsaur,  12 ,"  120,506 ","  7,866 ",PHYSICAL
Apr-18,F102792,Gujarat,Vadodara,Vadodara,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104656,Maharashtra,Akola,Akola,  4 ,"  42,002 ","  1,483 ",PHYSICAL
Apr-18,F104791,Madhya Pradesh,Jhabua,Jhabua,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F100037,Goa,South Goa,Salcete,  6 ,"  64,726 ","  9,245 ",PHYSICAL
Apr-18,F104860,Madhya Pradesh,Indore,Indore,  11 ,"  97,909 ",  800 ,PHYSICAL
Apr-18,F104801,Madhya Pradesh,Ujjain,Ujjain,  12 ,"  182,341 ","  1,200 ",PHYSICAL
Apr-18,F104338,Maharashtra,Akola,Akoli Jahangir,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104812,Madhya Pradesh,Dhar,Kukshi,  1 ,"  10,125 ",  -   ,PHYSICAL
Apr-18,F164052,Madhya Pradesh,Seoni,Seoni,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F101027,Gujarat,Bharuch,Anklesvar,  3 ,"  20,877 ",  -   ,PHYSICAL
Apr-18,F104123,Uttar Pradesh,Deoria,Babhani,  12 ,"  119,568 ","  7,685 ",PHYSICAL
Apr-18,F104830,Madhya Pradesh,Bhopal,Huzur,  1 ,"  10,615 ",  -   ,PHYSICAL
Apr-18,F164327,Madhya Pradesh,Bhopal,Huzur,  1 ,"  10,615 ",  -   ,PHYSICAL
Apr-18,F104802,Maharashtra,Akola,Akola,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F100974,Gujarat,Panch Mahals,Halol,  3 ,"  30,693 ",  -   ,PHYSICAL
Apr-18,F104045,Madhya Pradesh,Dhar,Dhar,  10 ,"  139,364 ",  400 ,PHYSICAL
Apr-18,F104861,Madhya Pradesh,Gwalior,Gwalior,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F103533,Maharashtra,Sangli,Miraj,  1 ,  749 ,"  7,010 ",PHYSICAL
Apr-18,F104848,Maharashtra,Gondia,Salekasa,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104794,Tamil Nadu,Tirunelveli,Palayamkottai,  5 ,  -   ,  -   ,PHYSICAL
Apr-18,F167019,Madhya Pradesh,Chhindwara,Chhindwara,  1 ,"  10,184 ",  -   ,PHYSICAL
Apr-18,F104764,Madhya Pradesh,Shivpuri,Shivpuri,  7 ,"  73,537 ",  400 ,PHYSICAL
Apr-18,F103952,Madhya Pradesh,Indore,Indore,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104781,Maharashtra,Gondia,Sadak Arjuni,  2 ,"  10,775 ",  -   ,PHYSICAL
Apr-18,F164059,Madhya Pradesh,Rewa,Hanumana,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F100041,Goa,North Goa,Tiswadi,  -   ,  -   ,"  14,319 ",PHYSICAL
Apr-18,F104355,Maharashtra,Wardha,Wardha,  1 ,"  10,771 ","  5,120 ",PHYSICAL
Apr-18,F104046,Madhya Pradesh,Dewas,Khategaon,  1 ,"  10,472 ",  -   ,PHYSICAL
Apr-18,F164061,Madhya Pradesh,Bhopal,Huzur,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F100991,Gujarat,Panch Mahals,Godhra,  13 ,"  92,447 ","  7,567 ",PHYSICAL
Apr-18,F104429,Madhya Pradesh,Barwani,Anjad,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104852,Maharashtra,Satara,Satara,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104720,Maharashtra,Ratnagiri,Ratnagiri,  1 ,"  1,740 ","  1,117 ",PHYSICAL
Apr-18,F104457,Maharashtra,Amravati,Achalpur City,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104798,Tamil Nadu,Ramanathapuram,Ramanathapuram,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104824,Maharashtra,Nagpur,Hingna,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F103577,Maharashtra,Sangli,Khanapur,  1 ,"  10,184 ","  3,079 ",PHYSICAL
Apr-18,F160185,Gujarat,Rajkot,Morbi,  2 ,"  20,367 ",  -   ,PHYSICAL
Apr-18,F166349,Gujarat,Rajkot,Jetpur,  7 ,"  74,952 ",  -   ,PHYSICAL
Apr-18,F104864,Karnataka,Ramanagar,Ramanagara,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104793,Maharashtra,Nagpur,Hingna,  6 ,"  61,263 ",  400 ,PHYSICAL
Apr-18,F160113,Karnataka,Bangalore,Bangalore South,  9 ,"  94,548 ",  -   ,PHYSICAL
Apr-18,F100968,Gujarat,Rajkot,Jetpur,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104211,Maharashtra,Sangli,Miraj,  11 ,"  89,285 ","  7,347 ",PHYSICAL
Apr-18,F104863,Madhya Pradesh,Dhar,Dhar,  4 ,"  45,917 ",  -   ,PHYSICAL
Apr-18,F104577,Maharashtra,Ratnagiri,Chiplun,  1 ,"  17,575 ",  -   ,PHYSICAL
Apr-18,F104298,Madhya Pradesh,Morena,Morena,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104196,Madhya Pradesh,Morena,Morena,  1 ,"  10,184 ",  -   ,PHYSICAL
Apr-18,F101013,Gujarat,Rajkot,Rajkot,  6 ,"  36,283 ",  800 ,PHYSICAL
Apr-18,F163933,Madhya Pradesh,Morena,Morena,  11 ,"  89,784 ",  400 ,PHYSICAL
Apr-18,F104762,Maharashtra,Amravati,Ambada E,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F167077,Madhya Pradesh,Shivpuri,Kolaras,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F103930,Madhya Pradesh,Ujjain,Ujjain,  2 ,"  20,959 ","  2,952 ",PHYSICAL
Apr-18,F104815,Madhya Pradesh,Vidisha,Ahmedpur,  4 ,"  33,688 ",  400 ,PHYSICAL
Apr-18,F104755,Maharashtra,Sangli,Miraj,  2 ,"  10,440 ","  3,378 ",PHYSICAL
Apr-18,F103966,Maharashtra,Solapur,Mangalvedha,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F160501,Gujarat,Rajkot,Wankaner,  7 ,"  89,492 ",  -   ,PHYSICAL
Apr-18,F103592,Maharashtra,Sangli,Miraj,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104822,Maharashtra,Sangli,Khanapur,  1 ,"  10,184 ",  -   ,PHYSICAL
Apr-18,F104644,Madhya Pradesh,Ratlam,Jaora,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F103829,Maharashtra,Sangli,Miraj,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104482,Tamil Nadu,Thanjavur,Thanjavur,  1 ,  -   ,  -   ,PHYSICAL
Apr-18,F103057,Goa,North Goa,Panaji,  4 ,"  19,653 ","  11,359 ",PHYSICAL
Apr-18,F103936,Maharashtra,Solapur,Malshiras,  5 ,"  58,110 ","  1,688 ",PHYSICAL
Apr-18,F104439,Madhya Pradesh,Shivpuri,Shivpuri,  59 ,"  539,812 ","  54,899 ",PHYSICAL
Apr-18,F104841,Madhya Pradesh,Indore,Indore,  3 ,"  32,349 ",  -   ,PHYSICAL
Apr-18,F104838,Maharashtra,Amravati,Amravati,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104808,Madhya Pradesh,Ratlam,Jaora,  4 ,"  39,987 ",  -   ,PHYSICAL
Apr-18,F104854,Karnataka,Bangalore,Bangalore North,  11 ,"  115,558 ",  -   ,PHYSICAL
Apr-18,F104789,Madhya Pradesh,Vidisha,Ahmedpur,  6 ,"  64,784 ",  -   ,PHYSICAL
Apr-18,F104849,Madhya Pradesh,Guna,Guna,  1 ,  706 ,  -   ,PHYSICAL
Apr-18,F104765,Madhya Pradesh,Bhopal,Huzur,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F103734,Maharashtra,Sangli,K. Mahankal,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104845,Madhya Pradesh,Mandsaur,Mandsaur,  2 ,"  22,107 ",  -   ,PHYSICAL
Apr-18,F104851,Madhya Pradesh,Barwani,Thikari,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F166341,Gujarat,Surat,Olpad,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104668,Maharashtra,Yavatmal,Yavatmal,  7 ,"  36,601 ",  400 ,PHYSICAL
Apr-18,F104626,Madhya Pradesh,Bhind,Gohad,  2 ,"  20,367 ",  -   ,PHYSICAL
Apr-18,F166337,Madhya Pradesh,Shivpuri,Shivpuri,  1 ,"  1,740 ",  -   ,PHYSICAL
Apr-18,F166351,Madhya Pradesh,Morena,Morena,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F104402,Madhya Pradesh,Sehore,Budhni,  3 ,"  12,247 ",  400 ,PHYSICAL
Apr-18,F104608,Madhya Pradesh,Dhar,Dhar,  6 ,"  62,765 ",  -   ,PHYSICAL
Apr-18,F104827,Madhya Pradesh,Ratlam,Piploda,  3 ,"  31,038 ",  -   ,PHYSICAL
Apr-18,F167094,Madhya Pradesh,Bhopal,Huzur,  -   ,  -   ,  -   ,PHYSICAL
Apr-18,F100035,Goa,South Goa,Mormugao,  -   ,  -   ,"  5,090 ",PHYSICAL
Apr-18,F104068,Madhya Pradesh,Dhar,Dhar,  3 ,"  7,203 ",  -   ,PHYSICAL
Apr-18,F104835,Madhya Pradesh,Bhopal,Huzur,  8 ,"  76,308 ",  -   ,PHYSICAL
Apr-18,F101026,Gujarat,Bharuch,Bharuch,  4 ,"  32,218 ",  -   ,PHYSICAL
Apr-18,F104855,Madhya Pradesh,Shivpuri,Shivpuri,  2 ,"  21,011 ",  -   ,PHYSICAL
Apr-18,F103547,Maharashtra,Sangli,Miraj,  2 ,"  15,908 ","  3,205 ",PHYSICAL
Apr-18,F104760,Madhya Pradesh,Barwani,Thikari,  -   ,  -   ,  -   ,PHYSICAL
