Month,FID,RMF PNH ID,RMF Name,State,District,Town, RF'S  , Total value , Earned Margin ,, RF'S  , Total value , Earned Margin ,,RF's,Earned Margin
Apr-18,F103073,33073342,Shreeji Communication,Gujarat,Valsad,Pardi,16,158347,  -   ,,44,38788249,81955,,  -   ,  -   
Apr-18,F165408,36066249,Harsiddhi Telecom,Gujarat,Surat,Palsana,3,20651,  -   ,,13,2004690,4531,,  -   ,  -   
Apr-18,F104380,34596352,Charbhuja Mobile,Madhya Pradesh,Barwani,Barwani,3,30353,  -   ,,25,10294026,21039,,  -   ,  -   
Apr-18,F160479,30761973,Sri Vinayaka Enterprises,Karnataka,Bangalore,Bangalore South,7,73537,  -   ,,24,22562648,47189,,  -   ,  -   
Apr-18,F103083,32248272,Rushabh Distributors,Gujarat,Surat,Olpad,26,271956,2086,,37,45787391,98612,,  -   ,  -   
Apr-18,F165420,35155616,Santoshi Enterprises,Gujarat,Valsad,Umargam,3,31372,  -   ,,6,11355202,23520,,  -   ,  -   
Apr-18,F104787,34431489,Balaji Stores,Madhya Pradesh,Jhabua,Jhabua,1,12794,  -   ,,9,3183711,6663,,  -   ,  -   
Apr-18,F102633,31186594,Urvi Communication,Gujarat,Bharuch,Vagra,19,205763,  -   ,,27,28042761,61741,,  -   ,  -   
Apr-18,F103878,34978814,B M B Agency,Madhya Pradesh,Dewas,Dewas,  -   ,  -   ,1734,,61,703080,250,,  -   ,  -   
Apr-18,F160818,32526016,Modi Enterprises,Madhya Pradesh,Mandsaur,Mandsaur,12,120506,7866,,50,2391231,3990,,  -   ,  -   
Apr-18,F102792,37298698,Ekta Communications,Gujarat,Vadodara,Vadodara,  -   ,  -   ,  -   ,,5,751540,1461,,  -   ,  -   
Apr-18,F104656,35259721,Poonam Telecom Agency (RMF),Maharashtra,Akola,Akola,4,42002,1483,,39,17607649,35510,,  -   ,  -   
Apr-18,F104791,38566354,Dreams Valley Mobile Gallery,Madhya Pradesh,Jhabua,Jhabua,  -   ,  -   ,  -   ,,7,495997,986,,  -   ,  -   
Apr-18,F100037,39477226,Fortune Gift House,Goa,South Goa,Salcete,6,64726,9245,,57,6322375,11376,,  -   ,  -   
Apr-18,F104860,35476733,Omkar Enterprises,Madhya Pradesh,Indore,Indore,11,97909,800,,25,14769720,31727,,  -   ,  -   
Apr-18,F104801,31144257,Sahil Telecom ,Madhya Pradesh,Ujjain,Ujjain,12,182341,1200,,13,2838713,8370,,  -   ,  -   
Apr-18,F104338,37862894,Vijay Infotech,Maharashtra,Akola,Akoli Jahangir,  -   ,  -   ,  -   ,,37,162819,215,,  -   ,  -   
Apr-18,F104812,36954618,S.F.Enterprises,Madhya Pradesh,Dhar,Kukshi,1,10125,  -   ,,6,1888853,4078,,  -   ,  -   
Apr-18,F164052,35742607,Mohammed & Son's,Madhya Pradesh,Seoni,Seoni,  -   ,  -   ,  -   ,,3,23965,28,,  -   ,  -   
Apr-18,F101027,32885272,Shreeji Telecom,Gujarat,Bharuch,Anklesvar,3,20877,  -   ,,12,6309112,13060,,  -   ,  -   
Apr-18,F104123,38391835,Shree Shyam Oxiworld,Uttar Pradesh,Deoria,Babhani,12,119568,7685,,88,19525273,39996,,  -   ,  -   
Apr-18,F104830,39651669,New Internet,Madhya Pradesh,Bhopal,Huzur,1,10615,  -   ,,3,379340,1059,,  -   ,  -   
Apr-18,F164327,36140215,Zen electronics & cooling system,Madhya Pradesh,Bhopal,Huzur,1,10615,  -   ,,7,883616,2067,,  -   ,  -   
Apr-18,F104802,38259225,Ezone E Services,Maharashtra,Akola,Akola,  -   ,  -   ,  -   ,,20,5338810,10634,,  -   ,  -   
Apr-18,F100974,37847699,Samir Telecom,Gujarat,Panch Mahals,Halol,3,30693,  -   ,,19,2909517,6662,,  -   ,  -   
Apr-18,F104045,33249572,Jai Shree Photocopy,Madhya Pradesh,Dhar,Dhar,10,139364,400,,50,7647070,17198,,  -   ,  -   
Apr-18,F104861,37484155,Rajpoot Communications ,Madhya Pradesh,Gwalior,Gwalior,  -   ,  -   ,  -   ,,13,35889,72,,  -   ,  -   
Apr-18,F103533,37734824,Laxmikant Electronics,Maharashtra,Sangli,Miraj,1,749,7010,,65,3376703,3951,,  -   ,  -   
Apr-18,F104848,36439895,Om Sairam Sales ,Maharashtra,Gondia,Salekasa,  -   ,  -   ,  -   ,,10,3398,7,,  -   ,  -   
Apr-18,F104794,37781765,Eden Enterprises,Tamil Nadu,Tirunelveli,Palayamkottai,5,  -   ,  -   ,,13,267820,536,,  -   ,  -   
Apr-18,F167019,39680186,Autus Academy,Madhya Pradesh,Chhindwara,Chhindwara,1,10184,  -   ,,10,569029,1429,,  -   ,  -   
Apr-18,F104764,36327947,Mukesh Printing Press ,Madhya Pradesh,Shivpuri,Shivpuri,7,73537,400,,7,7489446,16403,,  -   ,  -   
Apr-18,F103952,32878643,S S Corporation,Madhya Pradesh,Indore,Indore,  -   ,  -   ,  -   ,,16,258538,305,,  -   ,  -   
Apr-18,F104781,32361858,Kushal Gaydhane Kirana Stores ,Maharashtra,Gondia,Sadak Arjuni,2,10775,  -   ,,17,2390535,4913,,  -   ,  -   
Apr-18,F164059,31263262,Shri Enterprises,Madhya Pradesh,Rewa,Hanumana,  -   ,  -   ,  -   ,,2,16518,33,,  -   ,  -   
Apr-18,F100041,31637329,Limras World (Margao ),Goa,North Goa,Tiswadi,  -   ,  -   ,14319,,63,2716898,2065,,  -   ,  -   
Apr-18,F104355,33169929,Sambhavnath Agency,Maharashtra,Wardha,Wardha,1,10771,5120,,93,2129828,2533,,  -   ,  -   
Apr-18,F104046,38459495,Bhavya Agency,Madhya Pradesh,Dewas,Khategaon,1,10472,  -   ,,17,1558923,3317,,  -   ,  -   
Apr-18,F164061,37786782,Music Center,Madhya Pradesh,Bhopal,Huzur,  -   ,  -   ,  -   ,,14,43670,66,,  -   ,  -   
Apr-18,F100991,32267557,Gulshan Mobiles,Gujarat,Panch Mahals,Godhra,13,92447,7567,,51,1379985,1661,,  -   ,  -   
Apr-18,F104429,37497567,Bhola Footwear,Madhya Pradesh,Barwani,Anjad,  -   ,  -   ,  -   ,,7,1173215,2344,,  -   ,  -   
Apr-18,F104852,31551211,Pranjal Mobiles,Maharashtra,Satara,Satara,  -   ,  -   ,  -   ,,4,3550,7,,  -   ,  -   
Apr-18,F104720,34592448,Swami Samarth Mobiles (RMF),Maharashtra,Ratnagiri,Ratnagiri,1,1740,1117,,34,547872,354,,  -   ,  -   
Apr-18,F104457,35629586,Bajaj Auto Parts & Oil Center,Maharashtra,Amravati,Achalpur City,  -   ,  -   ,  -   ,,3,144593,288,,  -   ,  -   
Apr-18,F104798,33951427,Alfa Windows,Tamil Nadu,Ramanathapuram,Ramanathapuram,  -   ,  -   ,  -   ,,3,12100,24,,  -   ,  -   
Apr-18,F104824,34461129,Tanishta Enterprises ,Maharashtra,Nagpur,Hingna,  -   ,  -   ,  -   ,,9,1031582,2043,,  -   ,  -   
Apr-18,F103577,35925655,Balaji Communication,Maharashtra,Sangli,Khanapur,1,10184,3079,,37,1814291,2409,,  -   ,  -   
Apr-18,F160185,34433209,SAI TOURS & Travels,Gujarat,Rajkot,Morbi,2,20367,  -   ,,4,2063875,4702,,  -   ,  -   
Apr-18,F166349,31447827,Bansi mobile,Gujarat,Rajkot,Jetpur,7,74952,  -   ,,13,10099523,22268,,  -   ,  -   
Apr-18,F104864,39591428,D.K.S Enterprises,Karnataka,Ramanagar,Ramanagara,  -   ,  -   ,  -   ,,7,158025,316,,  -   ,  -   
Apr-18,F104793,35871991,Nihal Communications ,Maharashtra,Nagpur,Hingna,6,61263,400,,17,17007651,35320,,  -   ,  -   
Apr-18,F160113,32275313,Sri Balaji Inc,Karnataka,Bangalore,Bangalore South,9,94548,  -   ,,12,24860790,52418,,  -   ,  -   
Apr-18,F100968,34989351,B.S Marketing,Gujarat,Rajkot,Jetpur,  -   ,  -   ,  -   ,,11,126666,249,,  -   ,  -   
Apr-18,F104211,33649932,JAYASHREE COMMUNICATION,Maharashtra,Sangli,Miraj,11,89285,7347,,40,2802981,3911,,  -   ,  -   
Apr-18,F104863,32716644,U.S.B.Computers,Madhya Pradesh,Dhar,Dhar,4,45917,  -   ,,8,5213336,11610,,  -   ,  -   
Apr-18,F104577,34978486,Shariff Telecom,Maharashtra,Ratnagiri,Chiplun,1,17575,  -   ,,37,5908305,11800,,  -   ,  -   
Apr-18,F104298,31586234,S L Enterprises,Madhya Pradesh,Morena,Morena,  -   ,  -   ,  -   ,,1,220,0,,  -   ,  -   
Apr-18,F104196,33623339,Gagan Telecom,Madhya Pradesh,Morena,Morena,1,10184,  -   ,,18,1064876,2415,,  -   ,  -   
Apr-18,F101013,39338995,Bharti Mobile Shop,Gujarat,Rajkot,Rajkot,6,36283,800,,17,1193494,2724,,  -   ,  -   
Apr-18,F163933,38543723,Kamal vastu bhandar,Madhya Pradesh,Morena,Morena,11,89784,400,,23,4868742,11630,,  -   ,  -   
Apr-18,F104762,38555633,Shri Gajanan Mobile Shopee,Maharashtra,Amravati,Ambada E,  -   ,  -   ,  -   ,,8,57778,9,,  -   ,  -   
Apr-18,F167077,35317781,Vijay Shrivastava,Madhya Pradesh,Shivpuri,Kolaras,  -   ,  -   ,  -   ,,1,4800,10,,  -   ,  -   
Apr-18,F103930,31512231,Samskruthi Fancy Saree Emporium,Madhya Pradesh,Ujjain,Ujjain,2,20959,2952,,98,3536526,6239,,  -   ,  -   
Apr-18,F104815,32836963,Saffron Communications ,Madhya Pradesh,Vidisha,Ahmedpur,4,33688,400,,31,3129902,6550,,  -   ,  -   
Apr-18,F104755,32948161,A.S Enterprises ,Maharashtra,Sangli,Miraj,2,10440,3378,,49,1458661,1249,,  -   ,  -   
Apr-18,F103966,32839733,Om computer,Maharashtra,Solapur,Mangalvedha,  -   ,  -   ,  -   ,,21,878709,1547,,  -   ,  -   
Apr-18,F160501,37000031,Kismat Telecom,Gujarat,Rajkot,Wankaner,7,89492,  -   ,,20,11357150,24174,,  -   ,  -   
Apr-18,F103592,31722455,Riya Bakery Cold Drinks Stationery & Mobile,Maharashtra,Sangli,Miraj,  -   ,  -   ,  -   ,,2,1501884,3002,,  -   ,  -   
Apr-18,F104822,38373317,New Unique Computers & Mobiles,Maharashtra,Sangli,Khanapur,1,10184,  -   ,,19,4467443,9235,,  -   ,  -   
Apr-18,F104644,34611958,Gourav Agency (RMF),Madhya Pradesh,Ratlam,Jaora,  -   ,  -   ,  -   ,,4,47542,55,,  -   ,  -   
Apr-18,F103829,38883354,Sachin mobile shopy,Maharashtra,Sangli,Miraj,  -   ,  -   ,  -   ,,28,200981,135,,  -   ,  -   
Apr-18,F104482,39544871,Anand Telecom Service,Tamil Nadu,Thanjavur,Thanjavur,1,  -   ,  -   ,,2,8880,  -   ,,  -   ,  -   
Apr-18,F103057,34654755,Laxmi Enterprises,Goa,North Goa,Panaji,4,19653,11359,,83,6829646,10329,,  -   ,  -   
Apr-18,F103936,35939119,Electronic Bazaar,Maharashtra,Solapur,Malshiras,5,58110,1688,,29,1753516,3665,,  -   ,  -   
Apr-18,F104439,32774514,Chintamadi Rakesh Kumar,Madhya Pradesh,Shivpuri,Shivpuri,59,539812,54899,,62,24720174,47820,,  -   ,  -   
